Link_Header_Project_Name,State,Link_Header_project_Url,Scout id,Address,Timestamp,Data.Objektart,Data.Vermietbare Fläche ca.,Data.Wohnfläche ca.,Data.Sonstige Fläche ca.,Data.Gesamtfläche ca.,Data.Grundstücksfläche,Data.Etage(n),Data.Kaufpreis ab,Data.x-fache Miete,Data.Mieteinnahmen p.a. (Soll),Data.Provision für Käufer,Data.Baujahr,Data.Objektzustand,Data.Letzte Modernisierung/ Sanierung,Data.Heizungsart,Data.Energieausweis,Data.Anzahl der Parkflächen,Data.Wesentliche Energieträger,Data.Energie­ausweistyp,Data.Endenergiebedarf,Data.Energie­effizienz­klasse,Data.Qualität der Ausstattung,Data.Kaufpreis pro m²,Data.End­energie­verbrauch,Data.Fußweg zu öffentl. Verkehrsmitteln,Data.Fahrzeit nächster Hauptbahnhof,Data.Fahrzeit nächste Autobahn,Data.Fahrzeit nächster Flughafen,Data.End­energie­ver­brauch Strom,Data.End­energie­ver­brauch Wärme,Data.Gewerbefläche ca.,Data.Preis pro Parkfläche,Data.Mieteinnahmen p.a. (Ist),Data.Betriebskosten umgelegt,Data.Nicht umgelegte Kosten,Data.Denkmalschutzobjekt,Data.Energie­ver­brauchs­kennwert,Data.Strom­ver­brauchs­kenn­wert,Data.Heiz­energie­ver­brauchs­kenn­wert
Kernsaniertes MFH im Herzen von Mannheim,Baden-Württemberg,,"Objekt-Nr.: 136-00207 |
        
        Scout-ID: 128567386","68159 Mannheim, Innenstadt/Jungbusch",2021-09-02 11:09:07.504423,Mehrfamilienhaus,703  m²,703  m²,227  m²,930  m²,200  m²,5,3.500.000 €,"21,3",164.000  €,"3,57 % inkl. ges. MwSt.",1900,Vollständig renoviert,2021,Zentralheizung,laut Gesetz nicht erforderlich,,,,,,,,,,,,,,,,,,,,,,,
"NEUGroße Maisonette-Wohnung mit Küche, Balkon + Stellplatz",Baden-Württemberg,,"Objekt-Nr.: 134-00115 |
        
        Scout-ID: 129245166","72477 Schwenningen, Sigmaringen (Kreis)",2021-09-02 11:09:42.070686,Eigentumswohnung,"130,41  m²","130,41  m²",,"130,41  m²",,,199.000 €,,,"3,57 % inkl. ges. MwSt.",1968,Modernisiert,,Zentralheizung,liegt vor,1,Öl,Bedarfsausweis,"148,8 kWh/(m²*a)",E,,,,,,,,,,,,,,,,,,
MA - SECKENHEIM I Mietfreies 3 FH + kleines Hofgebäude I renovierungsbedürftig,Baden-Württemberg,,"Objekt-Nr.: 2021-229 |
        
        Scout-ID: 128418829","68239 Mannheim / Seckenheim, Mannheim",2021-09-02 11:10:12.438125,Mehrfamilienhaus,265  m²,230  m²,50  m²,280  m²,241  m²,4,665.000 €,,,"4,76 % inklusive der gesetzlichen MwSt.",1926,Renovierungsbedürftig,,Zentralheizung,liegt vor,,Gas,Verbrauchsausweis,,D,Normal,2.375  €,106 kWh/(m²*a),5 Min.,15 Min.,5 Min.,40 Min.,,,,,,,,,,,
NEUIdeal für Singles oder kleine Familien!,Baden-Württemberg,,"Objekt-Nr.: 2021-0061 |
        
        Scout-ID: 129318372","74336 Brackenheim, Heilbronn (Kreis)",2021-09-02 11:10:48.010096,Eigentumswohnung,65  m²,65  m²,,65  m²,,3,200.000 €,,,"4,76 % inkl. ges. MwSt.",1837,,2002,Zentralheizung,liegt vor,2,Öl,Bedarfsausweis,204 kWh/(m²*a),G,,,,,,,,,,,,,,,,,,
Saniertes Bürogebäude mit starker Rendite 4%,Baden-Württemberg,,"Objekt-Nr.: 7333 |
        
        Scout-ID: 129100794","89077 Ulm, Weststadt",2021-09-02 11:11:23.997227,Bürogebäude,622  m²,,,791  m²,791  m²,UG + EG + OG + DG,2.100.000 €,25,84.000  €,"3,57% des Kaufpreises",1904,,2005,Zentralheizung,liegt vor,16,Fernwärme,Verbrauchsausweis,,,,,,,,,,1 kWh/(m²*a),"48,4 kWh/(m²*a)",,,,,,,,,
Zentral gelegenes Wohn- und Geschäftshaus • lohnende Geldanlage,Baden-Württemberg,,"Objekt-Nr.: 2083a |
        
        Scout-ID: 128906126","88367 Hohentengen, Sigmaringen (Kreis)",2021-09-02 11:11:57.242129,Wohn-/ Geschäftshaus,700  m²,370  m²,,,707  m²,,645.000 €,,,"3,57 %",2018,Modernisiert,,,liegt vor,,Nahwärme,Verbrauchsausweis,,F,,,"190,53 kWh/(m²*a)",,10 Min.,,10 Min.,,,330  m²,,,,,,,,
Beste Lage wartet auf Kapitalanleger!,Baden-Württemberg,,"Objekt-Nr.: MTH1425 |
        
        Scout-ID: 118535427","68199 Mannheim, Neckarau",2021-09-02 11:12:30.474803,Eigentumswohnung,112  m²,108  m²,,112  m²,0  m²,1,374.000 €,,,"4,76% des Kaufpreises inkl. MwSt.",1992,Gepflegt,,Fernwärme,liegt vor,1,Fernwärme-Dampf,Verbrauchsausweis,,,Normal,,"119,5 kWh/(m²*a)",,,,,,,,0  €,,,,,,,
Wohnen oder Gewerbe? Dieses Haus begeistert Sie doppelt!,Baden-Württemberg,,"Objekt-Nr.: 0011 |
        
        Scout-ID: 127653609","70563 Stuttgart Vaihingen, Vaihingen-Mitte",2021-09-02 11:13:05.196391,Wohn-/ Geschäftshaus,"425,45  m²",204  m²,,,264  m²,2,1.690.000 €,,,4 % zzgl. gesetzlicher Mwst.,1948,Modernisiert,2014,,liegt zur Besichtigung vor,,,,,,Luxus,,,,,,,,,"221,45  m²",,,,,,,,
"+++ Neuwertiges, modernes Mehrfamilienhaus in Bestlage zu Verkaufen! +++",Baden-Württemberg,,Scout-ID: 128255446,"70563 Stuttgart, Heerstraße",2021-09-02 11:13:38.711481,Mehrfamilienhaus,350  m²,350  m²,,,605  m²,4,2.099.000 €,,,"4,76% inkl. MwSt.",2021,Neuwertig,2021,Zentralheizung,liegt vor,5,Gas,Bedarfsausweis,"91,3 kWh/(m²*a)",C,Gehoben,"5.997,40  €",,2 Min.,10 Min.,5 Min.,15 Min.,,,,0  €,72.000  €,,,,,,
Top-Lage: Vermietete Gewerbefläche im Stadtzentrum,Baden-Württemberg,,"Objekt-Nr.: 124544-3 |
        
        Scout-ID: 128776161","76661 Philippsburg, Karlsruhe (Kreis)",2021-09-02 11:14:22.403533,Geschäftshaus,149  m²,,,148  m²,,,229.000 €,,,"3,57 %",1985,Gepflegt,,,liegt vor,,Gas,Verbrauchsausweis,,,,"797,91  €",,,,,,"26,1 kWh/(m²*a)","163,6 kWh/(m²*a)",,,,,,,,,
