Link_Header_Project_Name,State,Link_Header_project_Url,Scout id,Address,Timestamp,Data.Typ,Data.Etagenanzahl,Data.Wohnfläche ca.,Data.Grundstück ca.,Data.Zimmer,Data.Schlafzimmer,Data.Badezimmer,Data.Garage/ Stellplatz,Data.Kaufpreis,Data.Provision für Käufer,Data.Baujahr,Data.Modernisierung/ Sanierung,Data.Objektzustand,Data.Ausstattung,Data.Heizungsart,Data.Wesentliche Energieträger,Data.Energieausweis,Data.Energie­ausweistyp,Data.Endenergiebedarf,Data.Energie­effizienz­klasse,Data.Objektbeschreibung,Data.Bezugsfrei ab,Data.Garage/ Stellplatz-Kaufpreis,Data.Nutzfläche ca.,Data.Bauphase,Data.End­energie­verbrauch,Data.Mieteinnahmen pro Monat,Data.Energie­ver­brauchs­kennwert,Data.Internet,Data.Denkmalschutzobjekt
NEUSommer-Bonus: Top-modernisiertes freistehendes Haus für die Familie! - Blumenthal ruhig gelegen.,bremen,https://www.immobilienscout24.de/expose/129703455,Objekt-Nr.: 125366366#1Hxvx|Scout-ID: 129703455,"28779 Bremen, Blumenthal (Ortsteil)",2021-09-09 15:46:40.134566,Einfamilienhaus (freistehend),3,205  m²,808  m²,9,3,2,2 Garagen,599.000 €,3% inkl. MwSt.,1938,"zuletzt 
        
        
          
          
            1970",Modernisiert,Normale Qualität,Zentralheizung,Öl,liegt vor,Bedarfsausweis,"299,6 kWh/(m²*a)",H,"Sie suchen nach einer freistehenden und top-modernisierten Immobilie mit großem Garten und Spielmöglichkeiten für die Kinder in ruhiger und trotzdem zentraler Lage ?
Dann haben wir hier genau das Richtige für Sie!

Das 1938 grundsolide gebaute Einfamilienhaus in ruhiger und zentraler Lage in Bremen-Blumenthal ist in den letzten zwei Jahren top modernisiert worden (neue Thermopen-Fenster, Stromleitungen, Heizungsleitungen, Heizkörper, Bodenbelege, Decken und Wände, Pflasterung, Sonnen-Terrasse).

Im Erdgeschoss werden Sie großzügig empfangen mit Garderobenbereich und Empfangszimmer und einem modern gestalteten und gefliesten Badezimmer mit Whirlpool-Badewanne.
Weiter geht es in den Ess- und Küchenbereich sowie kombinierten Wohnbereich mit Kaminoptik, großem Fernseher und LED-Beleuchtung und Zugang zur Sonnen-Terrasse.
Der Wintergarten mit Billiardtisch, Bar und Kamin lädt zum After-Work ein und ist gleichzeitig auch Zugang zum großen Garten mit Entspannungsmöglichkeiten für jeden (Schaukel, Pool, eigener Spielplatz, Gartentisch und Sonnenschirm und großzügige Rasenfläche mit Trampolin).

Im Obergeschoss befinden sich abgehend vom großen Flur drei Schlafzimmer, das Ankleidezimmer und das Badezimmer mit Badewanne und Dusche in heller Fliesenoptik.

Über die Treppe gelangt man links zum komplett renovierten Home Office und rechts zu einem ungenutzten Zimmer im Dachgeschoss. 

Erfüllen Sie sich den Traum vom Eigenheim mit großem, eigenen Garten, Pools, Kamin und vielen Spielmöglichkeiten! 
Einziehen und wohlfühlen ...

Sie wollen Ihre Immobilie verkaufen oder vermieten ?
Dann schnell, erfolgreich & zur höchstmöglichen, realistischen Kondition ! - für Sie absolut stressfrei !

!!! Finanzierungsspezialisten im eigenen Hause: 400 Banken, in der Regel ca. 10.000 bis 20.000 EUR Vorteil oder mehr für Sie !!!

Wir beraten mit Herz ❤️ und finden den richtigen Käufer oder Mieter für Sie !

OhJa GmbH Immobilien -Projekte
Bremen - Oldenburg - Potsdam - Berlin - Mönchengladbach – Leverkusen",,,,,,,,,
Gröpelingen / Großzügiges Mehrfamilienhaus mit 3 Wohneinheiten,bremen,https://www.immobilienscout24.de/expose/126170890,Objekt-Nr.: 200687#KxjPA|Scout-ID: 126170890,"28239 Bremen, Ohlenhof",2021-09-09 15:47:04.960322,Mehrfamilienhaus,2,308  m²,556  m²,11,,3,6 Außenstellplätze,469.000 €,3 %,1911,,,,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,"433,33 kWh/(m²*a)",H,"Dieses Mehrfamilienhaus aus dem Jahr 1911 verfügt über drei voneinander getrennt nutzbare Wohneienheiten,
mit jeweils separatem Außeneingang und einer Gesamtwohnfläche von ca. 308 m². 
Die Wohnungen können aber auch durch das innenliegende Treppenhaus, je nach Bedarf kombiniert genutzt werden. Eine ideale Voraussetzung für das Wohnen mit mehreren Generationen!

Das Mehrfamilienhaus befindet sich im Stadtteil Bremen-Gröpelingen. Die Grundstücksgröße beträgt 556 m².

Die Souterrainwohnung bietet auf ca. 92 m², drei Zimmer, einen Abstellraum, einen Heiz- und Kellerraum, ein Badezimmer und eine Küche. 

Die ca. 119 m² große Erdgeschosswohung verfügt über eine Küche, welche mit einer Einbauküche ausgestattet ist, vier Zimmer und einem Badezimmer mit Dusche. Ein Wintergarten schließt sich der Küche an.

Im Dachgeschoss befinden sich auf ca. 97 m², vier Zimmer, ein Tageslichtbadezimmer, eine Küche und ein Wintergarten, welcher sich dem großzügigen Balkon anschließt.


Vier Außenstellplätze und zwei Garagen runden das Gesamtangebot dieser Immobilie ab.",,,,,,,,,
Pures Wohnvergnügen: Familienhaus auf 3 Etagen mit sonniger Dachterrasse + Garten in Wohlfühl-Lage,bremen,https://www.immobilienscout24.de/expose/126279843,Objekt-Nr.: 9030602|Scout-ID: 126279843,"28259 Bremen, Kirchhuchting",2021-09-09 15:47:20.563257,Reihenmittelhaus,3,130  m²,165  m²,4,2,1,1 Außenstellplatz,368.270 €,Nein,2021,,Erstbezug,Einfache Qualität,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,61 kWh/(m²*a),B,"Das Haus Moon+ mit Pultdach überzeugt auf insgesamt 130 m² mit 4 Zimmern. Dank der offenen Küche lassen sich im Erdgeschoss Kochen, Essen und Wohnen wunderbar miteinander ver­binden. Das Obergeschoss bietet Platz für zwei Zimmer, einen Abstellraum und ein großzügiges Tageslichtbad. Im Dachgeschoss haben Sie die Wahl: Abstellraum oder zweites Bad. Die Vorbereitungen für ein Bad liefern wir mit.",2022,5.000 €,,,,,,,
NEUTraumhaus an der Lesum,bremen,https://www.immobilienscout24.de/expose/129406330,Objekt-Nr.: 202075|Scout-ID: 129406330,"28717 Bremen, Lesum",2021-09-09 15:47:35.227184,Einfamilienhaus (freistehend),2,212  m²,786  m²,5,4,3,1 Garage,1.189.000 €,Nein,2006,,Neuwertig,,,Gas,liegt vor,Verbrauchsausweis,,B,"Eine sehr seltene Gelegenheit zum Kauf bietet Ihnen dieses im Jahr 2006 auf einem 786m² großen Grundstück in massiver Bauweise mit viel Liebe zum Detail errichtete Einfamilienhaus in traumhafter Lage mit Blick auf die Lesum.

An dieser Stelle möchten wir ein paar Highlights dieser schönen Immobilie nennen. Weitere Informationen können Sie der tabellarischen Ausstattungsbeschreibung und den anhängenden Grundrissen entnehmen.

Der einladende und großzügige Wohn- / Essbereich bietet auf zwei Ebenen (drei Stufen) Raum für gemütliche Fernsehabende auf der Couch mit Blick auf den Kamin oder gesellige Zusammenkünfte mit Freunden und Familien im Essbereich. Von hier schließt sich die offene Küche mit hochwertiger Einbauküche, Kochinsel (jeweils zwei Ceran- Induktions- und Gasplatten und hochwertiger technischer Ausstattung an.

Die bodentiefen Fenster-/ Türelemente sorgen nicht nur für helle Räume, sondern ermöglichen auch den Zugang auf die das Haus umgebenden beiden Holzdielenterrassen und in den schönen Garten, der nach einem Architektenplan angelegt wurde. Die 3,25m hohen Decken sorgen ebenfalls für eine offenes und großzügiges Raumgefühl.

Der Eingangsbereich ist durch eine große Lichtkuppel lichtdurchflutet und sorgt für eine helle und freundliche Atmosphäre.

Im OG befinden sich zwei große Kinderzimmer, die mit einem gemeinsamen Duschbad verbunden sind. Auf der anderen Seite des Flures liegt ein großes Arbeitszimmer, das große Vollbad und das Schlafzimmer mit separater Ankleide und kleinem Balkon. Zahlreiche bodentiefe Fenster- und Türelemente sorgen auch hier für ein helles Wohlfühlklima. 

Das Haus wurde im Jahr 2019 sowohl von innen als auch von außen komplett neu gestrichen. Dies gilt auch für die Dachüberstände und das Gartenhaus. Im Haus wurde zudem das gesamte Parkett abgeschliffen und neu geölt.",nach Absprache,,37  m²,Haus fertig gestellt,"68,2 kWh/(m²*a)",,,,
NEUHochwertige Villa in repräsentativer Lage,bremen,https://www.immobilienscout24.de/expose/129305902,Objekt-Nr.: 207181|Scout-ID: 129305902,"28355 Bremen / Oberneuland, Bremen",2021-09-09 15:47:49.401658,Villa,3,351  m²,1.500  m²,8,4,3,2 Garagen,1.200.000 €,Nein,1957,,Neuwertig,,,Gas,liegt vor,Bedarfsausweis,"151,1 kWh/(m²*a)",,"Das hier angebotene Einfamilienhaus nebst Einliegerwohnung präsentiert sich in einem hervorragenden Zustand. Es bietet viel Platz für ein Mehrgenerationenhaus. 

Aufteilung:

Haupthaus: Erdgeschoss: Wohn-/Essbereich, Küche, HWR, Gäste-WC, Abstellraum, Diele, Heizungsraum, Terrasse, Garten 
Dachgeschoss: Zimmer I, Zimmer II, Zimmer III, Bad, Duschbad, Flur, Abstellraum, Balkon 
Spitzboden: Galerie, Abstellraum 

Einliegerwohnung (separater Eingang): 
Erdgeschoss: Zimmer I, Küche, Gäste-WC, Abstellraum, Diele, Terrasse 
Dachgeschoss: Zimmer II, Zimmer III, Bad, Flur, Balkon

Letzte Komplettsanierung erfolgte 1993
Letzte Komplettrenovierung erfolgte 2011",01.10.2021,,,Haus fertig gestellt,,,,,
Wo Bremen Nord am schönsten ist,bremen,https://www.immobilienscout24.de/expose/125239883,Objekt-Nr.: DC-BRE269|Scout-ID: 125239883,"28757 Bremen, Schönebeck",2021-09-09 15:48:05.185846,Einfamilienhaus (freistehend),2,"216,7  m²",2.064  m²,"4,5",3,2,2 Garagen,998.000 €,"2,98% inkl. der gesetzlichen MwSt. bezogen auf den Kaufpreis",2007,,Vollständig renoviert,,Ofenheizung,Erdwärme,liegt vor,Bedarfsausweis,52 kWh/(m²*a),B,"Sie schätzen eine individuelle Bauweise und lichtdurchflutete Räume? Sie legen Wert auf ein weitläufiges Grundstück und lieben den Blick aufs Wasser? Dann könnte diese Immobilie Ihre Wohnträume erfüllen. 

Das freistehende Einfamilienhaus wurde im Jahre 2007 auf einem knapp 2.000m² großen Grundstück erbaut. Der offen gestaltete Wohn- und Essbereich überzeugt durch großzügige Fensterfronten und einen Kamin. Die in der Farbe weiß gehaltene Einbauküche verfügt über moderne Elektrogeräte der Firma Miele. 
Außerdem finden Sie im Erdgeschoss das Hauptschlafzimmer mit Ankleide sowie das Bad en-suite vor. Der Übergang der Räume ist excellent gelöst. Die hochwertigen Fliesen verfügen zudem über Fußbodenheizung und ein Gäste-WC ist ebenfalls vorhanden.

Über die Echtholztreppe erreichen Sie die zweite Etage samt Galerie. Von hier aus gelangen Sie in alle weiteren Räume, die teilweise mit bodentiefen Fensterelementen ausgestattet sind. Der Blick ins Grüne ist unbezahlbar. Zwei weitere Schlafzimmer und ein Badezimmer mit Sauna runden diese Etage ab. 

Das Highlight dieses Einfamilienhauses ist sicherlich der hauseigene Teich mit einer kleinen Brücke. Am Steg können Sie die lauen Sommernächte genießen und Ihre Seele baumeln lassen.

Nicht unerwähnt möchten wir lassen. dass die Immobilie über eine elektrische Doppelgarage verfügt, von wo aus Sie direkten Zugang in das Haus haben. Ergänzt wird der Sicherheitsfaktor durch eine Alarmanlage und Fingerprinttechnik.",,,"79,3  m²",,,,,,
Mehrgenerationenhaus oder Ferienwohnungen,bremen,https://www.immobilienscout24.de/expose/128021208,Objekt-Nr.: 6397-2205|Scout-ID: 128021208,"27578 Bremerhaven, Leherheide",2021-09-09 15:48:16.883885,Einfamilienhaus (freistehend),,291  m²,1.140  m²,10,,3,2 Stellplätze,475.000 €,"2,95 % inkl. ges. MwSt.",1906,"zuletzt 
        
        
          
          
            2019",Gepflegt,Gehobene Qualität,Zentralheizung,Erdgas leicht,liegt vor,Bedarfsausweis,229 kWh/(m²*a),G,"Sehr viel Platz bietet Ihnen diese ganz besondere Immobilie. Dieses schöne, alte Herrenhaus wurde neu aufgeteilt, lässt sich aber auch mit wenigen Handgriffen wieder in eine gemeinsame Einheit umwandeln. Derzeit befindet sich im Erdgeschoss eine Wohnfläche von ca. 168 m², aufgeteilt in Wohn-/Essbereich mit offener, charmanter Küche. Von dort gelangt man in den großzügigen Wintergarten mit Zugang zum Garten. Ebenfalls im Erdgeschoss befinden sich ein modernes Duschbad, ein Schlafzimmer sowie ein Büro. Der Flur führt Sie zu folgenden Räumen: einem Arbeitsraum, 2 Werkstätten, einer großen Garage/Werkstatt und zum Abstellraum. Diese Räumlichkeiten beinhalten ca. 107 m² Fläche. Vom Abstellraum gelangen Sie in eine kleine zusätzliche Wohnung  mit Außenzugang. Die Aufteilung ist wie folgt: vom Wohnzimmer erreicht man über wenige Stufen die Küche, das Duschbad und das angrenzende Schlafzimmer. Im Dachgeschoss finden Sie eine in 2019 neu entstandene Wohnung mit ca. 104 m² Wohnfläche, 2 Schlafzimmern, einem begehbaren Kleiderschrank, einer Galerie, einem großzügigen Wannenbad nebst Küche und Wohnzimmer vor. Der Dachboden verfügt über ca. 168 m²  zusätzliche Fläche, die zum Ausbau vorbereitet ist. Die Immobilie verfügt somit über ausreichend Platz, um ihre Träume verwirklichen zu können. Ein sehr liebevoll angelegter Außenbereich mit Gartenteich und einer Gartenlaube lädt zum Feierabend ein. Über einen ca 60 m² großen Keller verfügt dieses sehr individuelle Haus ebenfalls. Die Heizung wird solarunterstützt und wurde 2014 erneuert. Die Dachdämmung stammt aus dem Jahr 1986. Die Immobilie wird videoüberwacht und es sind Autostellplätze, auch für Wohnmobile, vorhanden. Als Gewerbeobjekt oder auch zur Vermietung als Ferienwohnungen, hier ist Flexibilität angesagt.",,,,Haus fertig gestellt,,,,,
Die besondere Immobilie für Groß-Denker,bremen,https://www.immobilienscout24.de/expose/128083862,Objekt-Nr.: 6474-2205|Scout-ID: 128083862,"27578 Bremerhaven, Leherheide",2021-09-09 15:48:29.385779,Mehrfamilienhaus,,291  m²,1.140  m²,10,,3,2 Stellplätze,475.000 €,"2,95 % inkl. ges. MwSt.",1906,"zuletzt 
        
        
          
          
            2019",Gepflegt,Gehobene Qualität,Zentralheizung,Erdgas leicht,liegt vor,Bedarfsausweis,229 kWh/(m²*a),G,"Sehr viel Platz bietet Ihnen diese ganz besondere Immobilie. Dieses schöne, alte Herrenhaus wurde neu aufgeteilt, lässt sich aber auch mit wenigen Handgriffen wieder in eine gemeinsame Einheit umwandeln. Derzeit befindet sich im Erdgeschoss eine Wohnfläche von ca. 168 m², aufgeteilt in Wohn-/Essbereich mit offener, charmanter Küche. Von dort gelangt man in den großzügigen Wintergarten mit Zugang zum Garten. Ebenfalls im Erdgeschoss befinden sich ein modernes Duschbad, ein Schlafzimmer sowie ein Büro. Der Flur führt Sie zu folgenden Räumen: einem Arbeitsraum, 2 Werkstätten, einer großen Garage/Werkstatt und zum Abstellraum. Diese Räumlichkeiten beinhalten ca. 107 m² Fläche. Vom Abstellraum gelangen Sie in eine kleine zusätzliche Wohnung  mit Außenzugang. Die Aufteilung ist wie folgt: vom Wohnzimmer erreicht man über wenige Stufen die Küche, das Duschbad und das angrenzende Schlafzimmer. Im Dachgeschoss finden Sie eine in 2019 neu entstandene Wohnung mit ca. 104 m² Wohnfläche, 2 Schlafzimmern, einem begehbaren Kleiderschrank, einer Galerie, einem großzügigen Wannenbad nebst Küche und Wohnzimmer vor. Der Dachboden verfügt über ca. 168 m²  zusätzliche Fläche, die zum Ausbau vorbereitet ist. Die Immobilie verfügt somit über ausreichend Platz, um ihre Träume verwirklichen zu können. Ein sehr liebevoll angelegter Außenbereich mit Gartenteich und einer Gartenlaube lädt zum Feierabend ein. Über einen ca 60 m² großen Keller verfügt dieses sehr individuelle Haus ebenfalls. Die Heizung wird solarunterstützt und wurde 2014 erneuert. Die Dachdämmung stammt aus dem Jahr 1986. Die Immobilie wird videoüberwacht und es sind Autostellplätze, auch für Wohnmobile, vorhanden.",,,,Haus fertig gestellt,,,,,
NEUFamilienfreundliches energiesparendes Reihenmittelhaus BJ 2013,bremen,https://www.immobilienscout24.de/expose/129544963,Objekt-Nr.: 342654|Scout-ID: 129544963,"28259 Bremen, Mittelshuchting",2021-09-09 15:48:44.372928,Reihenmittelhaus,3,135  m²,105  m²,4,,1,Garage,349.000 €,"3,57% vom Kaufpreis (inkl. MwSt.)",2013,,Gepflegt,,Zentralheizung,Gas,liegt vor,Bedarfsausweis,63 kWh/(m²*a),,"Dieses moderne, sehr gepflegte und energiesparende Reihenmittelhaus, wurde im Jahre 2013 in massiver solider Bauweise in Brokhuchting errichtet. Das Objekt verfügt über eine Wohnfläche von ca. 135m² Wohnfläche und steht auf einem 105m² großem Grundstück. Die Wohnfläche erstreckt sich auf drei Ebenen. Im Erdgeschoß befindet sich das geräumige Wohnzimmer. Von dort aus blicken Sie durch eine große bodentiefe Fensterfront auf eine schöne mit dunklen massiven Fliesen ausgelegte Terrasse, die mit einem neuen Glasterrassendach auch vor schlechtem Wetter schützt. Von der Terrasse aus geht es in den Garten, in dem sich 2 Apfelbäume und ein Geräteschuppen befinden. Die Bewässerung im kleinen Garten nehmen Sie mit der eigens installierten Gartenpumpe vor.

Im Erdgeschoss befinden sich ferner die Küche, die mit einer modernen EBK mit maßgefertigten Auszügen ausgestattet ist und das Gäste WC. Der Bodenbelag besteht aus Fliesen und Parkett. Im Erdgeschoss sind überwiegend elektrische Rollläden angebracht. Das Wohnzimmer und die Küche sind mit einer Fußbodenerwärmung ausgestattet. 

Über eine Treppe im Flur gelangen Sie in das Obergeschoß, Dort befinden sich ein Kinderzimmer, ein großes Elternschlafzimmer, das sich auch in zwei kleinere Zimmer umwandeln lässt und ein Bad mit Fenster und Badewanne. Hier ist eine Fußbodenheizung installiert. 

Wenn Sie eine weitere Treppe höher gehen, kommen Sie in das große Gästezimmer. Die harmonische Gemütlichkeit des Raumes wir durch die leichten seitlichen Schrägen und durch die schöne Fensterfront erzeugt. 

Dieses Niedrigenergie Haus besitzt eine Gaszentralheizung, mit Warmwassergewinnung die sich im Dachgeschoß befindet. Die Therme wurde 2013 installiert. Zu dem RMH gehört eine Garage, die sich in unmittelbarer Nähe befindet. Die Garage ist mit Strom und einem elektrischen Tor ausgestattet.

Wir freuen uns auf eine Besichtigung mit Ihnen! Hinterlassen Sie Ihren Namen, eine Anschrift und Telefonnummer und wir senden Ihnen das Exposé mit Grundrissen gern per E-Mail zu.",,,,,,,,,
NEUBremen - Habenhausen | 2020 umfassend modernisiertes Reihenmittelhaus mit Südterrasse und Carport in,bremen,https://www.immobilienscout24.de/expose/129597238,Objekt-Nr.: JQ943|Scout-ID: 129597238,"28279 Bremen, Habenhausen",2021-09-09 15:48:57.306069,Reihenmittelhaus,3,"97,04  m²",124  m²,4,3,1,1 Carport,329.000 €,"3,57 % inkl. 19% MwSt. (Käuferprovision)",1987,,Modernisiert,Normale Qualität,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,C,"Das im Jahr 1987 erbaute und in 2020 umfassend renovierte und modernisierte Reihenmittelhaus bietet Ihnen mit 97,04m² Wohnfläche, die sich auf 4 Wohn- und Schlafzimmer, Ankleide, Küche, Hauswirtschaftsraum, Duschbad und Gäste-WC verteilen, mehr als genug Platz, damit Sie sich hier ganz nach Ihren Vorstellungen gemütlich einrichten können.

Das ansprechende Reihenmittelhaus überzeugt mit seinem gelungenen Grundriss mit gut nutzbaren Zimmergrößen, der angenehmen Helligkeit sowie der modernen, geschmackvollen Ausstattung und Einrichtung, die dem Haus ein schönes Wohnambiente verleihen. 

Nach Betreten des Reihenmittelhauses durch einen Windfang stehen Sie im langgezogenen Flur, der direkt in den Wohnbereich führt. Auf dem Weg dorthin passieren Sie rechter Hand die Küche, die mit einer neuen, komplett ausgestatteten Einbauküche eingerichtet ist, die das Herz eines jeden Hobbykochs sicherlich höherschlagen lässt.
Die Küche ist praktischerweise direkt mit einem Hauswirtschaftsraum mit Waschmaschinenanschluss verbunden.
Gegenüber der Küche befindet sich das neue Gäste-WC und ein kleiner Abstellraum.

Am Ende des Flures gelangen Sie in das gut dimensionierte Wohn- / Esszimmer, dem eine Sonnenterrasse mit Südausrichtung vorgelagert ist, die, genau wie das Wohn- / Esszimmer, zum Entspannen oder zum gemütlichen Beisammensein mit der Familie oder Freunden einlädt.
   
Im Obergeschoss, dass Sie über eine weiße Holztreppe erreichen, befinden sich zwei Wohn- und Schlafräume, die sich idealtypisch als Elternschlaf- und Kinderzimmer anbieten, aber dank Größe, Schnitt und Helligkeit sehr flexibel nutzbar sind und sich jederzeit Ihrer Bedarfssituation problemlos anpassen lassen.
Das größere der beiden Zimmer verfügt sogar noch über einen optisch separierten Ankleidebereich. Eine sehr clevere Lösung.
Beide Zimmer teilen sich das moderne, sehr schicke Bad mit großem verglastem Duschbereich (Regenduschkopf) und Handtuchheizung. 
Im Dachgeschoss erwartet Sie ein großes, die komplette Wohnebene einnehmendes Zimmer mit zwei Dachfenstern, die für viel Licht sorgen. Sicherlich nicht nur für Ihren fast erwachsenen Nachwuchs ein attraktiver Rückzugsbereich. 

Auch für Ihr Auto ist hier bestens gesorgt: Im Hofbereich haben Sie einen eigenen Pkw-Carportstellplatz, wo Sie ihr Auto komfortabel parken können.",sofort,,,,"97,6 kWh/(m²*a)",,,,
